Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Нейросетевые методы в обработке естественного языка,Гольдберг Йоав,ДМК-Пресс,2722,4187,35,На складе
Предиктивное моделирование на практике,"Кун Макс, Джонсон Кьелл",Питер.Для профессионалов,2731,3501,22,На складе
Микросервисы. Паттерны разработки и рефакторинга,Ричардсон Крис,Питер.Библиотека программиста,2128,2728,22,На складе
Выразительный JavaScript. Современное веб-программирование,Хавербеке Марейн,Питер.Для профессионалов,2197,2817,22,На складе
"Системы счисления, алгоритмизация и программирование. Учебное пособие",Игнашева Елена Петровна,ИНФРА-М.Военное образование,1817,2796,35,На складе
Объектно-ориентированное программирование. Учебник,Барков Игорь Александрович,Лань.Учебники для вузов. Специальная литература,6408,9858,35,Ограничено
Практическое введение в программную инженерию. Учебное пособие,Волк Владимир Константинович,Лань.Учебники для вузов. Специальная литература,2202,3388,35,Ограничено
Проектирование цифровых устройств на ПЛИС. Учебное пособие,Ушенина Инна Владимировна,Лань.Учебники для вузов. Специальная литература,3001,4617,35,Ограничено
Введение в технологии контейнеров и Kubernetes,Маркелов Андрей Александрович,ДМК-Пресс,1451,2233,35,На складе
Логическое проектирование и верификация систем на SystemVerilog,Дональд Томас,ДМК-Пресс,2358,3628,35,На складе
Искусство тестирования программ,Сандлер Кори и др.,Диалектика,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
HTML5 и CSS3 для чайников,"Титтел Эд, Минник Крис","Диалектика.Для ""чайников""",2098,3227,35,На складе
C# для чайников,Мюллер Джон Пол и др.,"Диалектика.Для ""чайников""",4123,Нет старого прайса,Нет скидки,Ожидается
Глубокое обучение. Готовые решения,Осинга Давид,Диалектика,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Изучаем TypeScript 3,Розенталс Натан,ДМК-Пресс,3267,5026,35,На складе
Введение в веб-разработку на языке JavaScript. Учебное пособие,Государев Илья Борисович,Лань.Учебники для вузов. Специальная литература,1776,2733,35,Ограничено
Программирование компьютерной графики,Боресков Алексей Викторович,ДМК-Пресс,1905,2930,35,На складе
Высокопроизводительный код на платформе .NET,Уотсон Бен,Питер.Для профессионалов,2158,2767,22,Ограничено
Совершенный алгоритм. Графовые алгоритмы и структуры данных,Рафгарден Тим,Питер.Библиотека программиста,1416,1815,22,На складе
{Вы не знаете JS} Асинхронная обработка и оптимизация,Симпсон Кайл,Питер.Бестселлеры O`Reilly,1323,1696,22,На складе
{Вы не знаете JS} Замыкания и объекты,Симпсон Кайл,Питер.Бестселлеры O`Reilly,1323,1696,22,На складе
{Вы не знаете JS} Типы и грамматические конструкции,Симпсон Кайл,Питер.Бестселлеры O`Reilly,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Основы теории вейвлетов. Вейвлеты в Matlab,Смоленцев Николай Константинович,ДМК-Пресс.Все о вейвлетах,1815,2793,35,На складе
Изучаем React,Чиннатамби Кирупа,Бомбора.Мировой компьютерный бестселлер,1499,2053,27,На складе
Python для чайников,Мюллер Джон Пол,"Диалектика.Для ""чайников""",2098,3227,35,На складе
Изучение сложных систем с помощью Python,Дауни Аллен Б.,ДМК-Пресс,1362,2096,35,Ограничено
Как устроен JavaScript,Крокфорд Дуглас,Питер.Для профессионалов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Вероятностное программирование на Python. Байесовский вывод и алгоритмы,Дэвидсон-Пайлон Кэмерон,Питер.Библиотека программиста,1925,2468,22,На складе
JavaScript для чайников,"Минник Крис, Холланд Ева","Диалектика.Для ""чайников""",1747,2688,35,На складе
Легкий способ выучить Python 3,Шоу Зед А.,Бомбора.Мировой компьютерный бестселлер,880,1206,27,На складе
Конкурентность и параллелизм на платформе .NET. Паттерны эффективного проектирования,Террелл Рикардо,Питер.Для профессионалов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Технология программирования на C++. Начальный курс,Литвиненко Николай Аркадьевич,BHV.Учебник для ВУЗов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Jenkins 2. Приступаем к работе. Создайте свой конвейер развертывания для автоматизации следующего п.,Ластер Брент,ДМК-Пресс,3449,5306,35,На складе
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов,"Пай Прасид, Абрахам Питер",ДМК-Пресс,1633,2513,35,На складе
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов,"Пай Прасид, Абрахам Питер",ДМК-Пресс,1633,2513,35,На складе
Изображение квантовых процессов. Начальный курс квантовой теории и рассуждений на диаграммах,"Коке Боб, Киссинждер Алекс",ДМК-Пресс,4084,6283,35,На складе
,,,0,Нет старого прайса,Нет скидки,
Unreal Engine VR для разработчиков,Маккефри Митч,Бомбора.Мировой компьютерный бестселлер,1219,1670,27,На складе
C# на примерах,Евдокимов П. В.,Наука и Техника.На задачах и примерах,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Язык программирования Python. Практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М.Высшее образование. Бакалавриат,1713,2635,35,На складе
Django 2 в примерах,Меле Антонио,ДМК-Пресс,2358,3628,35,На складе
Глубокое обучение без математики. Том 1. Основы,Гласснер Эндрю,ДМК-Пресс,3085,4746,35,На складе
Программирование в среде Lazarus. Учебное пособие,Гуриков Сергей Ростиславович,Форум.Среднее профессиональное образование,3437,5288,35,На складе
Программирование и основы алгоритмизации.Теоретические основы и примеры реализации численных методов,"Затонский Андрей Владимирович, Бильфельд Николай Валентинович",РИОР.Высшее образование,1171,1801,35,Ограничено
Программное обеспечение компьютерных сетей и web-серверов. Учебное пособие,Лисьев Григорий Авенирович и др.,ИНФРА-М.Среднее профессиональное образование,1139,1753,35,На складе
Технологии параллельного программирования. Учебное пособие,"Лупин Сергей Андреевич, Посыпкин Михаил Анатольевич",Форум.Высшее образование,1232,1896,35,На складе
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем,Паттанаяк Сантану,Вильямс,2680,4123,35,Ограничено
Введение в анализ алгоритмов,Солтис Майкл,ДМК-Пресс,1633,2513,35,На складе
"Наш код. Ремесло, профессия, искусство",Бугаенко Егор,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
,,,0,Нет старого прайса,Нет скидки,
Unity на практике. Создаем 3D-игры и 3D-миры,Ларкович Сергей Наумович,Наука и Техника,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Практикум по решению задач на ЭВМ в среде Delphi. Учебное пособие,"Бунаков Павел Юрьевич, Лопатин А. К.",Форум.Среднее профессиональное образование,3105,4777,35,На складе
Анализ вредоносных программ,Монаппа К. А.,ДМК-Пресс,2540,3908,35,На складе
Стандарты программирования на С++. 101 правило и рекомендация,"Саттер Герб, Александреску Андрей",Вильямс.С++ In-Depth,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Java. Библиотека профессионала. Том 1. Основы,Хорстманн Кей С.,Диалектика,4427,6810,35,На складе
JavaScript. Карманный справочник,Флэнаган Дэвид,Диалектика,1282,1972,35,На складе
Искусство программирования. Том 3. Сортировка и поиск,Кнут Дональд Эрвин,Диалектика,6174,9498,35,На складе
Применение UML 2.0 и шаблонов проектирования,Ларман Крэг,Диалектика,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Программирование на Javascript для чайников,"Минник Крис, Холланд Ева","Диалектика.Для ""чайников""",Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Язык программирования C++. Краткий курс,Страуструп Бьярне,Диалектика,1747,2688,35,На складе
Основы алгоритмизации и программирования на Python. Учебное пособие,Гуриков Сергей Ростиславович,Форум.Высшее образование: Бакалавриат,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Численные методы и программирование. Учебное пособие,Колдаев Виктор Дмитриевич,Форум.Среднее профессиональное образование,2638,4059,35,На складе
Реактивные веб-сайты. Клиентская оптимизация в алгоритмах и примерах. Учебное пособие,Мациевский Николай Сергеевич и др.,Просвещение/Бином.Архитектор информационных систем,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Kafka Streams в действии. Приложения и микросервисы для работы в реальном времени,Беджек Билл,Питер.Для профессионалов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Микросервисы и контейнеры Docker,Кочер Парминдер Сингх,ДМК-Пресс,1815,2793,35,На складе
Биометрическая защита. Обзор технологии,Суомалайнен Антти,ДМК-Пресс,271,417,35,На складе
Легкий способ выучить Java,Пейн Брайсон,Бомбора.Мировой компьютерный бестселлер,1062,1455,27,На складе
Программирование в Erlang,"Томпсон Саймон, Чезарини Франческо",ДМК-Пресс.Функциональное программирование,1815,2793,35,На складе
Искусство программирования. Том 2. Получисленные алгоритмы,Кнут Дональд Эрвин,Диалектика,5243,8066,35,На складе
Искусственный интеллект для чайников,"Мюллер Джон Пол, Массарон Лука","Диалектика.Для ""чайников""",1747,2688,35,На складе
GraphQL. Язык запросов для современных веб-приложений,"Бэнкс Алекс, Порселло Ева",Питер,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Современные технологии программирования. Разработка Windows-приложений на языке С#. Учебник. Том 2,Горелов Сергей Витальевич,Прометей,1136,1748,35,На складе
Компьютерное зрение. Теория и алгоритмы,Клетте Рейнхард,ДМК-Пресс,3811,5863,35,На складе
Java. Оптимизация программ. Практические методы повышения производительности приложений в JVM,Эванс Бенджамин и др.,Диалектика,4427,6810,35,Ограничено
CSS. Полный справочник. Визуальное форматирование веб-страниц,"Мейер Эрик, Уэйл Эстель",Диалектика,6174,9498,35,На складе
Vue.js в действии,"Хэнчетт Эрик, Листоун Бенджамин",Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Искусство программирования на R. Погружение в большие данные,Мэтлофф Норман,Питер.Библиотека программиста,1497,1919,22,На складе
Базовые средства программирования на Visual Basic в среде VisualStudio Net. Практикум. Учебное пособ,Шакин Виктор Николаевич,Форум.Среднее профессиональное образование,3629,Нет старого прайса,Нет скидки,Ожидается
Алгоритмизация и программирование. Практикум. Учебное пособие,Андрианова Анастасия Александровна и др.,Лань.Учебники для вузов. Специальная литература,1888,2905,35,На складе
Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие,Апанасевич Сергей Александрович,Лань.Учебники для вузов. Специальная литература,1473,2266,35,На складе
Python: создаем программы и игры,Кольцов Дмитрий Викторович,Наука и Техника.Сам себе программист!,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Самоучитель игры на Паскале. ABC и немного Турбо,Комлев Николай Юрьевич,Солон-пресс.Библиотека студента,962,1480,35,На складе
Создание веб-сайта для чайников,Кроудер Дэвид,"Диалектика.Для ""чайников""",Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Алгоритмические трюки для программистов,Уоррен Генри С.,Диалектика,3496,5378,35,Ограничено
Unity и C#. Геймдев от идеи до реализации,Бонд Джереми Гибсон,Питер.Для профессионалов,3184,Нет старого прайса,Нет скидки,На складе
PostgreSQL 11. Мастерство разработки,Шениг Ганс-Юрген,ДМК-Пресс,2450,3769,35,На складе
Распределенные системы. Паттерны проектирования,Бернс Брендан,Питер.Бестселлеры O`Reilly,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
"React быстро. Веб-приложения на React, JSX, Redux и GraphQL",Мардан Азат,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Стандартная библиотека C++. Справочное руководство,Джосаттис Николаи М.,Диалектика,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Django 2.1. Практика создания веб-сайтов на Python,Дронов Владимир Александрович,BHV.Профессиональное программирование,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Искусственный интеллект. Современный подход,"Рассел Стюарт, Норвиг Питер",Вильямс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
TensorFlow для глубокого обучения,"Рамсундар Бхарат, Заде Реза Босаг",BHV,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Разработка АСУТП в среде WinCC. Учебное пособие,"Иванов Виктор Эдуардович, Чье Ен Ун",Инфра-Инженерия,1704,2621,35,На складе
Автоматизация программируемых сетей,Эделман Джейсон и др.,ДМК-Пресс,2722,4187,35,Ограничено
Пользовательские истории. Искусство гибкой разработки ПО,Паттон Джефф,Питер.Бестселлеры O`Reilly,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
"Разработка бизнес-приложений на платформе ""1С:Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М.Высшее образование. Бакалавриат,2447,3764,35,На складе
,,,0,Нет старого прайса,Нет скидки,
Прикладная обработка биомедицинских изображений в среде MATLAB. Учебное пособие,Федотов Александр Александрович,Лань.Учебники для вузов. Специальная литература,752,1157,35,Ограничено
"Изучаем HTML, XHTML и CSS","Робсон Элизабет, Фримен Эрик",Питер.Head First (O'Reilly),2745,3519,22,На складе
Умные мобильные проекты с TensorFlow,Танг Джефф,ДМК-Пресс.Машинное обучение,1815,2793,35,На складе
Алгоритмы на Java,"Седжвик Роберт, Уэйн Кевин",Вильямс,6989,10752,35,На складе
C++. Полное руководство. Классическое издание,Шилдт Герберт,Вильямс,5243,8066,35,На складе
Spring 5 для профессионалов,Шефер Крис и др.,Вильямс,6989,10752,35,На складе
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта,Джоши Пратик,Вильямс,3496,5378,35,На складе
"Основы машинного обучения для аналитического прогнозирования. Алгоритмы, рабочие примеры",Келлехер Джон Д. и др.,Вильямс,4427,6810,35,На складе
Разработка SCADA-систем. Учебное пособие,Кангин Владимир Венедиктович и др.,Инфра-Инженерия,1870,2877,35,Ограничено
Осваиваем Kubernetes. Оркестрация контейнерных архитектур,Сайфан Джиджи,Питер.Для профессионалов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Прикладной анализ текстовых данных на Python. Машинное обучение и создание приложений обработки,Бенгфорт Бенджамин и др.,Питер.Бестселлеры O`Reilly,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Язык и среда программирования R. Учебное пособие,Золотарюк Анатолий Васильевич,ИНФРА-М.Высшее образование. Бакалавриат,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Прагматичный ИИ. Машинное обучение и облачные технологии,Гифт Ной,Питер.Для профессионалов,1705,2186,22,На складе
Язык программирования С++ (стандарт С++11). Краткий курс,Страуструп Бьерн,Бином,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Самоучитель системного администратора,Кенин Александр Михайлович,BHV.Системный администратор,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
C/C++ в задачах и примерах,Культин Никита Борисович,BHV.В задачах и примерах,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Изучаем pandas,"Хейдт Майкл, Груздев Артем Владимирович",ДМК-Пресс,3449,5306,35,На складе
Приемы объектно-ориентированного проектирования. Паттерны проектирования,Гамма Э. и др.,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Внедрение Splunk 7,Миллер Джеймс,ДМК-Пресс,2358,3628,35,На складе
Java за 24 часа,Кейденхед Роджерс,Диалектика,1747,2688,35,Ограничено
"Python и машинное обучение: машинное и глубокое обучение с использованием Python, scikit-learn и Ten","Рашка Себастьян, Мирджалили Вахид",Вильямс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Совершенный алгоритм. Основы,Рафгарден Тим,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Машинное обучение и TensorFlow,Шакла Нишант,Питер.Библиотека программиста,1639,2101,22,На складе
Spring. Все паттерны проектирования,Раджпут Динеш,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Дискретная математика. Учимся программировать в Wolfram Mathematica,"Фридман Григорий Морицович, Иванов О. А.",Питер.Учебник для вузов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Python на примерах. Практический курс,Васильев Алексей Николаевич,Наука и Техника.На примерах,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Сборник заданий по основаниям программирования. Учебное пособие,"Анисимов Андрей Евгеньевич, Пупышев Вячеслав Викторович",Просвещение/Бином.Основы информационных технологий,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
"C++ на примерах. Практика, практика и только практика","Орленко Павел Алексеевич, Евдокимов Петр Валентинович",Наука и Техника.На примерах,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Большие данные. Принципы и практика построения масштабируемых систем обработки данных в реальном вр.,"Марц Натан, Уоррен Джеймс",Вильямс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Современные технологии программирования: разработка Windows-приложений на языке С#. Том 1,Горелов Сергей Витальевич,Прометей,961,1479,35,На складе
Основы технологий баз данных. Учебное пособие,"Новиков Борис Асенович, Горшкова Екатерина Александровна",ДМК-Пресс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Mathematica 5/6/7. Полное руководство,Дьяконов Владимир Павлович,ДМК-Пресс.Математика и Matlab,1633,2513,35,Ограничено
Простой Python просто с нуля,Гаско Рик,Солон-пресс.Программирование,1624,Нет старого прайса,Нет скидки,Ожидается
C++. Базовый курс,Шилдт Герберт,Вильямс,3496,5378,35,На складе
Linux. Карманный справочник,Граннеман Скотт,Вильямс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Моделирование объектов управления в MatLab. Учебное пособие,"Затонский Андрей Владимирович, Тугашова Лариса Геннадьевна",Лань.Учебники для вузов. Специальная литература,1559,2398,35,На складе
Основы алгоритмизации и программирования (ОП.04). Практикум,Серкова Екатерина Геннадьевна,Феникс.Среднее профессиональное образование,385,593,35,На складе
Программирование на C# для начинающих. Особенности языка,Васильев Александр Николаевич,Бомбора.Российский компьютерный бестселлер,1117,1530,27,На складе
"Компиляторы. Принципы, технологии и инструментарий",Ахо Альфред В. и др.,Диалектика,8736,13440,35,На складе
"Современное проектирование на C++. Серия ""C++ In-Depth""",Александреску Андрей,Вильямс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Архитектура вычислительных систем и Ассемблер,"Гагарина Лариса Геннадьевна, Кононова Александра Игоревна",Солон-пресс.Библиотека студента,999,1537,35,Ограничено
React в действии,Томас Марк Тиленс,Питер.Для профессионалов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Секреты Python. 59 рекомендаций по написанию эффективного кода,Слаткин Бретт,Вильямс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Delphi. Программирование в примерах и задачах. Практикум: Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР.Высшее образование,1092,1680,35,На складе
Delphi. Программирование в примерах и задачах. Практикум. Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР.Среднее профессиональное образование,1127,1734,35,На складе
Суперкомпьютерные вычисления: практический подход,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",BHV.Учебник для ВУЗов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Java. Эффективное программирование,Блох Джошуа,Вильямс,4427,6810,35,На складе
Структуры данных в C++. Краткий справочник,Браунси Кен,Вильямс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер.Бестселлеры O`Reilly,2766,3546,22,На складе
Kubernetes в действии,Лукша Марко,ДМК-Пресс,2903,4466,35,На складе
Смарт-карты и информационная безопасность,"Мытник Константин Яковлевич, Панасенко Сергей Петрович",ДМК-Пресс.Безопасность и защита,1815,2793,35,На складе
Эффективный и современный С++. 42 рекомендации по использованию C++11 и C++14,Мейерс Скотт,Диалектика,3496,5378,35,Ограничено
ASP.NET Core MVC 2 с примерами на C# для профессионалов,Фримен Адам,Вильямс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
CSS. Карманный справочник,Мейер Эрик,Вильямс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Изучаем регулярные выражения,Форта Бен,Вильямс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Пользовательские истории. Гибкая разработка программного обеспечения,Кон Майк,Диалектика,3496,5378,35,На складе
Паскаль для школьников. Учебное пособие,Попов В. Б.,РИОР,3616,Нет старого прайса,Нет скидки,Ожидается
Python. Экспресс-курс,Седер Наоми,Питер.Библиотека программиста,2057,2637,22,На складе
Архитектура компьютера,"Таненбаум Эндрю, Остин Т.",Питер.Классика computer science,2239,Нет старого прайса,Нет скидки,На складе
Java. Руководство для начинающих,Шилдт Герберт,Диалектика,4427,6810,35,На складе
,,,0,Нет старого прайса,Нет скидки,
Python. Экспресс-курс,Седер Наоми,Питер.Библиотека программиста,2057,2637,22,На складе
Архитектура компьютера,"Таненбаум Эндрю, Остин Т.",Питер.Классика computer science,2239,Нет старого прайса,Нет скидки,На складе
Java. Руководство для начинающих,Шилдт Герберт,Диалектика,4427,6810,35,На складе
Алгоритмы. Построение и анализ,Кормен Томас и др.,Диалектика,10485,16130,35,На складе
Основы информатики и программирование под Windows. Учебное пособие,Молоков Константин Александрович,Проспект,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Изучай Erlang во имя добра!,Хеберт Фред,ДМК-Пресс,2540,3908,35,На складе
Программируй на Haskell,Курт Уилл,ДМК-Пресс.Функциональное программирование,2903,4466,35,На складе
"Конфигурирование и моделирование в системе ""1С: Предприятие"". Учебник",Дадян Эдуард Григорьевич,ИНФРА-М.Высшее образование. Магистратура,3285,5054,35,На складе
Алгоритмы на C++,Седжвик Роберт,Вильямс,6989,10752,35,На складе
Программирование на C для чайников,Гукин Дэн,"Диалектика.Для ""чайников""",Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Python. Справочник. Полное описание языка,Мартелли Алекс и др.,Диалектика,4427,6810,35,На складе
Теоретический минимум по Big Data. Всё что нужно знать о больших данных,"Ын Анналин, Су Кеннет",Питер.Библиотека программиста,979,1255,22,На складе
"Как устроен Python. Гид для разработчиков, программистов и интересующихся",Харрисон Мэтт,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
"HTML, JavaScript, PHP и MySQL. Джентльм.наб. Изд.5","Дронов Владимир Александрович, Прохоренок Николай Анатольевич",BHV.Профессиональное программирование,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
,,,0,Нет старого прайса,Нет скидки,
Основы программирования на языке Python,Златопольский Дмитрий Михайлович,ДМК-Пресс,1088,1674,35,На складе
Методы научных исследований в программной инженерии,Пантелеев Евгений Рафаилович,Лань.Учебники для вузов. Специальная литература,1017,1564,35,На складе
Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие,Симонова Елена Витальевна,Лань.Учебники для вузов. Специальная литература,1325,2039,35,Ограничено
AutoCAD 2019. Полное руководство,"Жарков Николай Витальевич, Финков М. В.",Наука и Техника.Полное руководство,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Программируем на Python,Доусон Майкл,Питер,1396,Нет старого прайса,Нет скидки,На складе
HTML5. Карманный справочник,Роббинс Дженнифер,Вильямс,1399,2152,35,На складе
Искусство программирования. Том 4А. Комбинаторные алгоритмы. Часть 1,Кнут Дональд Эрвин,Вильямс,6989,10752,35,На складе
Практика программирования,"Керниган Брайан, Пайк Роб",Вильямс,2680,4123,35,На складе
Введение в системы баз данных,Дейт К. Дж.,Диалектика,6989,10752,35,На складе
Эволюционная архитектура. Поддержка непрерывных изменений,Форд Нил и др.,Питер.Бестселлеры O`Reilly,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Работа с BigData в облаках. Обработка и хранение данных с примерами из Microsoft Azure,Сенько Александр,Питер,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер.Для профессионалов,1488,1908,22,На складе
Решение задач на современном C++,Бансила Мариус,ДМК-Пресс,1995,3069,35,На складе
Философия Java,Эккель Брюс,Питер.Классика computer science,3431,Нет старого прайса,Нет скидки,На складе
Python для сложных задач. Наука о данных и машинное обучение,Плас Дж. Вандер,Питер.Бестселлеры O`Reilly,1985,2545,22,На складе
Data Science. Инсайдерская информация для новичков. Включая язык R,"О`Нил Кэти, Шатт Рэйчел",Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Python 3. Самое необходимое,"Прохоренок Николай Анатольевич, Дронов Владимир Александрович",BHV.Самое необходимое,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Разработка программных приложений в среде BlackBox. Учебное пособие,Болотнов Анатолий Миронович,Лань.Учебники для вузов. Специальная литература,1316,2025,35,Ограничено
Технологии интеллектуального анализа данных. Учебное пособие,"Макшанов Андрей Владимирович, Журавлев Антон Евгеньевич",Лань.Учебники для вузов. Специальная литература,1734,2667,35,На складе
Практическое введение в язык программирования Си. Учебное пособие,"Солдатенко Илья Сергеевич, Попов Иван Владимирович",Лань.Учебники для вузов. Специальная литература,1282,1973,35,Ограничено
"PHP. Объекты, шаблоны и методики программирования",Зандстра Мэтт,Вильямс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Самоучитель С++ с примерами и задачами,Васильев А. Н.,Наука и Техника.Самоучитель.,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере,О`Двайр Артур,ДМК-Пресс,2177,3349,35,На складе
